brand,laptop_name,display_size,processor_type,graphics_card,disk_space,price,ratings_5max
Apple,MacBook Pro (Retina + Touch Bar),15, Intel Core i9, Radeon Pro 561, 512 GB SSD,12499,5
Apple,MacBook Pro (Retina + Touch Bar),13, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 256 GB SSD,7999,3
Apple,MacBook Pro (Retina + Touch Bar),13, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 512 GB SSD,8699,5
Apple,MacBook Pro (Retina + Touch Bar),15, Intel Core i7 Quad Core, Radeon Pro 555 GDDR5 (2 GB), 256 GB SSD,7679,4
Apple,MacBook Pro (Retina + Touch Bar),15, Intel Core i7 6 Core, Radeon Pro 561, 512 GB SSD,11,4
Apple,MacBook Pro (Retina + Touch Bar),13, Intel Core i5 Dual Core, Intel Iris Plus Graphics 651, 512 GB SSD,8499,3
Apple,MacBook Pro (Retina + Touch Bar),13, Intel Core i5 Dual Core, Intel Iris Graphics 551, 256 GB SSD,7768,2
Apple,MacBook Pro (Retina + Touch Bar),15, Intel Core i7 6 Core, Radeon Pro 555X GDDR5 (4 GB), 256 GB SSD,11,2
Apple,MacBook Pro (Retina + Touch Bar),15, Intel Core i7 6 Core, Radeon Pro 561, 512 GB SSD,11899,4
Apple,MacBook Pro (Retina),13, Intel Core i5 Dual Core, Intel Iris Plus Graphics 641, 128 GB SSD,5669,4
Apple,MacBook Pro (Retina),13, Intel Core i5 Dual Core, Intel Iris Plus Graphics 641, 256 GB SSD,6499,4
Apple,MacBook Pro (Retina),15, Intel Core i7 Quad Core, AMD Radeon R9-M371, 512 GB SSD,6824,3
Apple,MacBook Pro (Retina),13, Intel Core i5 Dual Core, Intel Iris Plus Graphics 641, 128 GB SSD,5269,4
Apple,MacBook Pro (Retina),15, Intel Core i7 Quad Core, Intel Iris Pro Graphics, 256 GB SSD,8189,4
